observ,barrio,calle,altura,institu1,institu3,distanci,edpub,estserv,banco,totrob,mes,totrob2
8,Belgrano,Congreso,a2700,0,1,1,0,0,0,.25,5,.25
8,Belgrano,Congreso,a2700,0,1,1,0,0,0,0,6,0
8,Belgrano,Congreso,a2700,0,1,1,0,0,0,0,7,0
8,Belgrano,Congreso,a2700,0,1,1,0,0,0,0,8,0
8,Belgrano,Congreso,a2700,0,1,1,0,0,0,0,9,0
8,Belgrano,Congreso,a2700,0,1,1,0,0,0,0,10,0
8,Belgrano,Congreso,a2700,0,1,1,0,0,0,0,11,0
8,Belgrano,Congreso,a2700,0,1,1,0,0,0,.25,12,.25
8,Belgrano,Congreso,a2700,0,1,1,0,0,0,0,72,0
8,Belgrano,Congreso,a2700,0,1,1,0,0,0,0,73,0
9,Belgrano,Congreso,a2800,0,1,1,0,0,0,0,4,0
9,Belgrano,Congreso,a2800,0,1,1,0,0,0,.25,5,.25
9,Belgrano,Congreso,a2800,0,1,1,0,0,0,0,6,0
9,Belgrano,Congreso,a2800,0,1,1,0,0,0,0,7,0
9,Belgrano,Congreso,a2800,0,1,1,0,0,0,0,8,0
9,Belgrano,Congreso,a2800,0,1,1,0,0,0,0,9,0
9,Belgrano,Congreso,a2800,0,1,1,0,0,0,0,10,0
9,Belgrano,Congreso,a2800,0,1,1,0,0,0,0,11,0
9,Belgrano,Congreso,a2800,0,1,1,0,0,0,0,12,0
9,Belgrano,Congreso,a2800,0,1,1,0,0,0,0,72,0
9,Belgrano,Congreso,a2800,0,1,1,0,0,0,0,73,0
10,Belgrano,Manuel Ugarte,a1900,0,0,5,0,0,0,0,4,0
10,Belgrano,Manuel Ugarte,a1900,0,0,5,0,0,0,.25,5,.25
10,Belgrano,Manuel Ugarte,a1900,0,0,5,0,0,0,0,6,0
10,Belgrano,Manuel Ugarte,a1900,0,0,5,0,0,0,0,7,0
10,Belgrano,Manuel Ugarte,a1900,0,0,5,0,0,0,0,8,0
10,Belgrano,Manuel Ugarte,a1900,0,0,5,0,0,0,0,9,0
10,Belgrano,Manuel Ugarte,a1900,0,0,5,0,0,0,0,10,0
10,Belgrano,Manuel Ugarte,a1900,0,0,5,0,0,0,0,11,0
10,Belgrano,Manuel Ugarte,a1900,0,0,5,0,0,0,0,12,0
10,Belgrano,Manuel Ugarte,a1900,0,0,5,0,0,0,0,72,0
10,Belgrano,Manuel Ugarte,a1900,0,0,5,0,0,0,0,73,0
11,Belgrano,Manuel Ugarte,a2000,0,0,4,0,0,0,0,4,0
11,Belgrano,Manuel Ugarte,a2000,0,0,4,0,0,0,.25,5,.25
11,Belgrano,Manuel Ugarte,a2000,0,0,4,0,0,0,.25,6,.25
11,Belgrano,Manuel Ugarte,a2000,0,0,4,0,0,0,0,7,0
11,Belgrano,Manuel Ugarte,a2000,0,0,4,0,0,0,0,8,0
11,Belgrano,Manuel Ugarte,a2000,0,0,4,0,0,0,1,9,1
11,Belgrano,Manuel Ugarte,a2000,0,0,4,0,0,0,0,10,0
11,Belgrano,Manuel Ugarte,a2000,0,0,4,0,0,0,0,11,0
11,Belgrano,Manuel Ugarte,a2000,0,0,4,0,0,0,0,12,0
11,Belgrano,Manuel Ugarte,a2000,0,0,4,0,0,0,0,72,0
11,Belgrano,Manuel Ugarte,a2000,0,0,4,0,0,0,0,73,0
12,Belgrano,Manuel Ugarte,a2100,0,0,4,0,0,0,0,4,0
12,Belgrano,Manuel Ugarte,a2100,0,0,4,0,0,0,0,5,0
12,Belgrano,Manuel Ugarte,a2100,0,0,4,0,0,0,.25,6,.25
12,Belgrano,Manuel Ugarte,a2100,0,0,4,0,0,0,0,7,0
12,Belgrano,Manuel Ugarte,a2100,0,0,4,0,0,0,0,8,0
12,Belgrano,Manuel Ugarte,a2100,0,0,4,0,0,0,0,9,0
12,Belgrano,Manuel Ugarte,a2100,0,0,4,0,0,0,.25,10,.25
12,Belgrano,Manuel Ugarte,a2100,0,0,4,0,0,0,0,11,0
12,Belgrano,Manuel Ugarte,a2100,0,0,4,0,0,0,0,12,0
12,Belgrano,Manuel Ugarte,a2100,0,0,4,0,0,0,0,72,0
12,Belgrano,Manuel Ugarte,a2100,0,0,4,0,0,0,0,73,0
13,Belgrano,Manuel Ugarte,a2200,0,0,4,0,0,0,0,4,0
13,Belgrano,Manuel Ugarte,a2200,0,0,4,0,0,0,0,5,0
13,Belgrano,Manuel Ugarte,a2200,0,0,4,0,0,0,0,6,0
13,Belgrano,Manuel Ugarte,a2200,0,0,4,0,0,0,0,7,0
13,Belgrano,Manuel Ugarte,a2200,0,0,4,0,0,0,0,8,0
13,Belgrano,Manuel Ugarte,a2200,0,0,4,0,0,0,0,9,0
13,Belgrano,Manuel Ugarte,a2200,0,0,4,0,0,0,1.25,10,1.25
13,Belgrano,Manuel Ugarte,a2200,0,0,4,0,0,0,0,11,0
13,Belgrano,Manuel Ugarte,a2200,0,0,4,0,0,0,0,12,0
13,Belgrano,Manuel Ugarte,a2200,0,0,4,0,0,0,0,72,0
13,Belgrano,Manuel Ugarte,a2200,0,0,4,0,0,0,0,73,0
14,Belgrano,Manuel Ugarte,a2300,0,0,3,0,0,0,.5,4,.5
14,Belgrano,Manuel Ugarte,a2300,0,0,3,0,0,0,.25,5,.25
14,Belgrano,Manuel Ugarte,a2300,0,0,3,0,0,0,0,6,0
14,Belgrano,Manuel Ugarte,a2300,0,0,3,0,0,0,0,7,0
14,Belgrano,Manuel Ugarte,a2300,0,0,3,0,0,0,.5,8,.5
14,Belgrano,Manuel Ugarte,a2300,0,0,3,0,0,0,.25,9,.25
14,Belgrano,Manuel Ugarte,a2300,0,0,3,0,0,0,.25,10,.25
14,Belgrano,Manuel Ugarte,a2300,0,0,3,0,0,0,0,11,0
14,Belgrano,Manuel Ugarte,a2300,0,0,3,0,0,0,0,12,0
14,Belgrano,Manuel Ugarte,a2300,0,0,3,0,0,0,0,72,0
14,Belgrano,Manuel Ugarte,a2300,0,0,3,0,0,0,0,73,0
15,Belgrano,Manuel Ugarte,a2400,0,0,3,0,0,0,.5,4,.5
15,Belgrano,Manuel Ugarte,a2400,0,0,3,0,0,0,1.5,5,1.5
15,Belgrano,Manuel Ugarte,a2400,0,0,3,0,0,0,.25,6,.25
15,Belgrano,Manuel Ugarte,a2400,0,0,3,0,0,0,0,7,0
15,Belgrano,Manuel Ugarte,a2400,0,0,3,0,0,0,.5,8,.5
15,Belgrano,Manuel Ugarte,a2400,0,0,3,0,0,0,.25,9,.25
15,Belgrano,Manuel Ugarte,a2400,0,0,3,0,0,0,.25,10,.25
15,Belgrano,Manuel Ugarte,a2400,0,0,3,0,0,0,.5,11,.5
15,Belgrano,Manuel Ugarte,a2400,0,0,3,0,0,0,.25,12,.25
15,Belgrano,Manuel Ugarte,a2400,0,0,3,0,0,0,.25,72,.25
15,Belgrano,Manuel Ugarte,a2400,0,0,3,0,0,0,0,73,.25
16,Belgrano,Manuel Ugarte,a2500,0,0,2,0,0,0,1,4,1
16,Belgrano,Manuel Ugarte,a2500,0,0,2,0,0,0,1.25,5,1.25
16,Belgrano,Manuel Ugarte,a2500,0,0,2,0,0,0,.25,6,.25
16,Belgrano,Manuel Ugarte,a2500,0,0,2,0,0,0,1,7,1
16,Belgrano,Manuel Ugarte,a2500,0,0,2,0,0,0,.5,8,.5
16,Belgrano,Manuel Ugarte,a2500,0,0,2,0,0,0,0,9,0
16,Belgrano,Manuel Ugarte,a2500,0,0,2,0,0,0,.75,10,.75
16,Belgrano,Manuel Ugarte,a2500,0,0,2,0,0,0,.75,11,.75
16,Belgrano,Manuel Ugarte,a2500,0,0,2,0,0,0,.5,12,.5
16,Belgrano,Manuel Ugarte,a2500,0,0,2,0,0,0,.25,72,.25
16,Belgrano,Manuel Ugarte,a2500,0,0,2,0,0,0,0,73,.25
17,Belgrano,Manuel Ugarte,a2600,0,0,2,0,0,0,0,4,0
17,Belgrano,Manuel Ugarte,a2600,0,0,2,0,0,0,0,5,0
17,Belgrano,Manuel Ugarte,a2600,0,0,2,0,0,0,0,6,0
17,Belgrano,Manuel Ugarte,a2600,0,0,2,0,0,0,0,7,0
17,Belgrano,Manuel Ugarte,a2600,0,0,2,0,0,0,.5,8,.5
17,Belgrano,Manuel Ugarte,a2600,0,0,2,0,0,0,0,9,0
