"","observ","barrio","calle","altura","institu1","institu3","distanci","edpub","estserv","banco","totrob","mes","totrob2","category","month","month.label"
"57",6,"Belgrano","Congreso","a2500",0,1,1,0,0,0,0,10,0,2,11,"October"
"58",6,"Belgrano","Congreso","a2500",0,1,1,0,0,0,0,11,0,2,12,"November"
"59",6,"Belgrano","Congreso","a2500",0,1,1,0,0,0,1,12,1,2,13,"December"
"60",6,"Belgrano","Congreso","a2500",0,1,1,0,0,0,0,73,0,2,8,"July (18-31)"
"61",7,"Belgrano","Congreso","a2600",0,1,1,0,0,0,0,4,0,2,4,"April"
"62",7,"Belgrano","Congreso","a2600",0,1,1,0,0,0,0,5,0,2,5,"May"
"63",7,"Belgrano","Congreso","a2600",0,1,1,0,0,0,0,6,0,2,6,"June"
"64",7,"Belgrano","Congreso","a2600",0,1,1,0,0,0,0,7,0,2,7,"July (1-17)"
"65",7,"Belgrano","Congreso","a2600",0,1,1,0,0,0,0,8,0,2,9,"August"
"66",7,"Belgrano","Congreso","a2600",0,1,1,0,0,0,0,9,0,2,10,"September"
"67",7,"Belgrano","Congreso","a2600",0,1,1,0,0,0,0,10,0,2,11,"October"
"68",7,"Belgrano","Congreso","a2600",0,1,1,0,0,0,0,11,0,2,12,"November"
"69",7,"Belgrano","Congreso","a2600",0,1,1,0,0,0,0.25,12,0.25,2,13,"December"
"70",7,"Belgrano","Congreso","a2600",0,1,1,0,0,0,0,73,0,2,8,"July (18-31)"
"71",8,"Belgrano","Congreso","a2700",0,1,1,0,0,0,0,4,0,2,4,"April"
"72",8,"Belgrano","Congreso","a2700",0,1,1,0,0,0,0.25,5,0.25,2,5,"May"
"73",8,"Belgrano","Congreso","a2700",0,1,1,0,0,0,0,6,0,2,6,"June"
"74",8,"Belgrano","Congreso","a2700",0,1,1,0,0,0,0,7,0,2,7,"July (1-17)"
"75",8,"Belgrano","Congreso","a2700",0,1,1,0,0,0,0,8,0,2,9,"August"
"76",8,"Belgrano","Congreso","a2700",0,1,1,0,0,0,0,9,0,2,10,"September"
"77",8,"Belgrano","Congreso","a2700",0,1,1,0,0,0,0,10,0,2,11,"October"
"78",8,"Belgrano","Congreso","a2700",0,1,1,0,0,0,0,11,0,2,12,"November"
"79",8,"Belgrano","Congreso","a2700",0,1,1,0,0,0,0.25,12,0.25,2,13,"December"
"80",8,"Belgrano","Congreso","a2700",0,1,1,0,0,0,0,73,0,2,8,"July (18-31)"
"81",9,"Belgrano","Congreso","a2800",0,1,1,0,0,0,0,4,0,2,4,"April"
"82",9,"Belgrano","Congreso","a2800",0,1,1,0,0,0,0.25,5,0.25,2,5,"May"
"83",9,"Belgrano","Congreso","a2800",0,1,1,0,0,0,0,6,0,2,6,"June"
"84",9,"Belgrano","Congreso","a2800",0,1,1,0,0,0,0,7,0,2,7,"July (1-17)"
"85",9,"Belgrano","Congreso","a2800",0,1,1,0,0,0,0,8,0,2,9,"August"
"86",9,"Belgrano","Congreso","a2800",0,1,1,0,0,0,0,9,0,2,10,"September"
"87",9,"Belgrano","Congreso","a2800",0,1,1,0,0,0,0,10,0,2,11,"October"
"88",9,"Belgrano","Congreso","a2800",0,1,1,0,0,0,0,11,0,2,12,"November"
"89",9,"Belgrano","Congreso","a2800",0,1,1,0,0,0,0,12,0,2,13,"December"
"90",9,"Belgrano","Congreso","a2800",0,1,1,0,0,0,0,73,0,2,8,"July (18-31)"
"91",10,"Belgrano","Manuel Ugarte","a1900",0,0,5,0,0,0,0,4,0,4,4,"April"
"92",10,"Belgrano","Manuel Ugarte","a1900",0,0,5,0,0,0,0.25,5,0.25,4,5,"May"
"93",10,"Belgrano","Manuel Ugarte","a1900",0,0,5,0,0,0,0,6,0,4,6,"June"
"94",10,"Belgrano","Manuel Ugarte","a1900",0,0,5,0,0,0,0,7,0,4,7,"July (1-17)"
"95",10,"Belgrano","Manuel Ugarte","a1900",0,0,5,0,0,0,0,8,0,4,9,"August"
"96",10,"Belgrano","Manuel Ugarte","a1900",0,0,5,0,0,0,0,9,0,4,10,"September"
"97",10,"Belgrano","Manuel Ugarte","a1900",0,0,5,0,0,0,0,10,0,4,11,"October"
"98",10,"Belgrano","Manuel Ugarte","a1900",0,0,5,0,0,0,0,11,0,4,12,"November"
"99",10,"Belgrano","Manuel Ugarte","a1900",0,0,5,0,0,0,0,12,0,4,13,"December"
"100",10,"Belgrano","Manuel Ugarte","a1900",0,0,5,0,0,0,0,73,0,4,8,"July (18-31)"
"101",11,"Belgrano","Manuel Ugarte","a2000",0,0,4,0,0,0,0,4,0,4,4,"April"
"102",11,"Belgrano","Manuel Ugarte","a2000",0,0,4,0,0,0,0.25,5,0.25,4,5,"May"
"103",11,"Belgrano","Manuel Ugarte","a2000",0,0,4,0,0,0,0.25,6,0.25,4,6,"June"
"104",11,"Belgrano","Manuel Ugarte","a2000",0,0,4,0,0,0,0,7,0,4,7,"July (1-17)"
"105",11,"Belgrano","Manuel Ugarte","a2000",0,0,4,0,0,0,0,8,0,4,9,"August"
"106",11,"Belgrano","Manuel Ugarte","a2000",0,0,4,0,0,0,1,9,1,4,10,"September"
"107",11,"Belgrano","Manuel Ugarte","a2000",0,0,4,0,0,0,0,10,0,4,11,"October"
"108",11,"Belgrano","Manuel Ugarte","a2000",0,0,4,0,0,0,0,11,0,4,12,"November"
"109",11,"Belgrano","Manuel Ugarte","a2000",0,0,4,0,0,0,0,12,0,4,13,"December"
"110",11,"Belgrano","Manuel Ugarte","a2000",0,0,4,0,0,0,0,73,0,4,8,"July (18-31)"
"111",12,"Belgrano","Manuel Ugarte","a2100",0,0,4,0,0,0,0,4,0,4,4,"April"
"112",12,"Belgrano","Manuel Ugarte","a2100",0,0,4,0,0,0,0,5,0,4,5,"May"
"113",12,"Belgrano","Manuel Ugarte","a2100",0,0,4,0,0,0,0.25,6,0.25,4,6,"June"
"114",12,"Belgrano","Manuel Ugarte","a2100",0,0,4,0,0,0,0,7,0,4,7,"July (1-17)"
"115",12,"Belgrano","Manuel Ugarte","a2100",0,0,4,0,0,0,0,8,0,4,9,"August"
"116",12,"Belgrano","Manuel Ugarte","a2100",0,0,4,0,0,0,0,9,0,4,10,"September"
"117",12,"Belgrano","Manuel Ugarte","a2100",0,0,4,0,0,0,0.25,10,0.25,4,11,"October"
"118",12,"Belgrano","Manuel Ugarte","a2100",0,0,4,0,0,0,0,11,0,4,12,"November"
"119",12,"Belgrano","Manuel Ugarte","a2100",0,0,4,0,0,0,0,12,0,4,13,"December"
"120",12,"Belgrano","Manuel Ugarte","a2100",0,0,4,0,0,0,0,73,0,4,8,"July (18-31)"
"121",13,"Belgrano","Manuel Ugarte","a2200",0,0,4,0,0,0,0,4,0,4,4,"April"
"122",13,"Belgrano","Manuel Ugarte","a2200",0,0,4,0,0,0,0,5,0,4,5,"May"
"123",13,"Belgrano","Manuel Ugarte","a2200",0,0,4,0,0,0,0,6,0,4,6,"June"
"124",13,"Belgrano","Manuel Ugarte","a2200",0,0,4,0,0,0,0,7,0,4,7,"July (1-17)"
"125",13,"Belgrano","Manuel Ugarte","a2200",0,0,4,0,0,0,0,8,0,4,9,"August"
"126",13,"Belgrano","Manuel Ugarte","a2200",0,0,4,0,0,0,0,9,0,4,10,"September"
"127",13,"Belgrano","Manuel Ugarte","a2200",0,0,4,0,0,0,1.25,10,1.25,4,11,"October"
"128",13,"Belgrano","Manuel Ugarte","a2200",0,0,4,0,0,0,0,11,0,4,12,"November"
"129",13,"Belgrano","Manuel Ugarte","a2200",0,0,4,0,0,0,0,12,0,4,13,"December"
"130",13,"Belgrano","Manuel Ugarte","a2200",0,0,4,0,0,0,0,73,0,4,8,"July (18-31)"
"131",14,"Belgrano","Manuel Ugarte","a2300",0,0,3,0,0,0,0.5,4,0.5,4,4,"April"
"132",14,"Belgrano","Manuel Ugarte","a2300",0,0,3,0,0,0,0.25,5,0.25,4,5,"May"
"133",14,"Belgrano","Manuel Ugarte","a2300",0,0,3,0,0,0,0,6,0,4,6,"June"
"134",14,"Belgrano","Manuel Ugarte","a2300",0,0,3,0,0,0,0,7,0,4,7,"July (1-17)"
"135",14,"Belgrano","Manuel Ugarte","a2300",0,0,3,0,0,0,0.5,8,0.5,4,9,"August"
"136",14,"Belgrano","Manuel Ugarte","a2300",0,0,3,0,0,0,0.25,9,0.25,4,10,"September"
"137",14,"Belgrano","Manuel Ugarte","a2300",0,0,3,0,0,0,0.25,10,0.25,4,11,"October"
"138",14,"Belgrano","Manuel Ugarte","a2300",0,0,3,0,0,0,0,11,0,4,12,"November"
"139",14,"Belgrano","Manuel Ugarte","a2300",0,0,3,0,0,0,0,12,0,4,13,"December"
"140",14,"Belgrano","Manuel Ugarte","a2300",0,0,3,0,0,0,0,73,0,4,8,"July (18-31)"
"141",15,"Belgrano","Manuel Ugarte","a2400",0,0,3,0,0,0,0.5,4,0.5,4,4,"April"
"142",15,"Belgrano","Manuel Ugarte","a2400",0,0,3,0,0,0,1.5,5,1.5,4,5,"May"
"143",15,"Belgrano","Manuel Ugarte","a2400",0,0,3,0,0,0,0.25,6,0.25,4,6,"June"
"144",15,"Belgrano","Manuel Ugarte","a2400",0,0,3,0,0,0,0,7,0,4,7,"July (1-17)"
"145",15,"Belgrano","Manuel Ugarte","a2400",0,0,3,0,0,0,0.5,8,0.5,4,9,"August"
"146",15,"Belgrano","Manuel Ugarte","a2400",0,0,3,0,0,0,0.25,9,0.25,4,10,"September"
"147",15,"Belgrano","Manuel Ugarte","a2400",0,0,3,0,0,0,0.25,10,0.25,4,11,"October"
"148",15,"Belgrano","Manuel Ugarte","a2400",0,0,3,0,0,0,0.5,11,0.5,4,12,"November"
"149",15,"Belgrano","Manuel Ugarte","a2400",0,0,3,0,0,0,0.25,12,0.25,4,13,"December"
"150",15,"Belgrano","Manuel Ugarte","a2400",0,0,3,0,0,0,0,73,0.25,4,8,"July (18-31)"
"151",16,"Belgrano","Manuel Ugarte","a2500",0,0,2,0,0,0,1,4,1,3,4,"April"
"152",16,"Belgrano","Manuel Ugarte","a2500",0,0,2,0,0,0,1.25,5,1.25,3,5,"May"
"153",16,"Belgrano","Manuel Ugarte","a2500",0,0,2,0,0,0,0.25,6,0.25,3,6,"June"
"154",16,"Belgrano","Manuel Ugarte","a2500",0,0,2,0,0,0,1,7,1,3,7,"July (1-17)"
"155",16,"Belgrano","Manuel Ugarte","a2500",0,0,2,0,0,0,0.5,8,0.5,3,9,"August"
"156",16,"Belgrano","Manuel Ugarte","a2500",0,0,2,0,0,0,0,9,0,3,10,"September"
"157",16,"Belgrano","Manuel Ugarte","a2500",0,0,2,0,0,0,0.75,10,0.75,3,11,"October"
"158",16,"Belgrano","Manuel Ugarte","a2500",0,0,2,0,0,0,0.75,11,0.75,3,12,"November"
"159",16,"Belgrano","Manuel Ugarte","a2500",0,0,2,0,0,0,0.5,12,0.5,3,13,"December"
"160",16,"Belgrano","Manuel Ugarte","a2500",0,0,2,0,0,0,0,73,0.25,3,8,"July (18-31)"
"161",17,"Belgrano","Manuel Ugarte","a2600",0,0,2,0,0,0,0,4,0,3,4,"April"
"162",17,"Belgrano","Manuel Ugarte","a2600",0,0,2,0,0,0,0,5,0,3,5,"May"
"163",17,"Belgrano","Manuel Ugarte","a2600",0,0,2,0,0,0,0,6,0,3,6,"June"
"164",17,"Belgrano","Manuel Ugarte","a2600",0,0,2,0,0,0,0,7,0,3,7,"July (1-17)"
"165",17,"Belgrano","Manuel Ugarte","a2600",0,0,2,0,0,0,0.5,8,0.5,3,9,"August"
"166",17,"Belgrano","Manuel Ugarte","a2600",0,0,2,0,0,0,0,9,0,3,10,"September"
"167",17,"Belgrano","Manuel Ugarte","a2600",0,0,2,0,0,0,0.75,10,0.75,3,11,"October"
"168",17,"Belgrano","Manuel Ugarte","a2600",0,0,2,0,0,0,0.25,11,0.25,3,12,"November"
"169",17,"Belgrano","Manuel Ugarte","a2600",0,0,2,0,0,0,0.5,12,0.5,3,13,"December"
"170",17,"Belgrano","Manuel Ugarte","a2600",0,0,2,0,0,0,0,73,0,3,8,"July (18-31)"
"171",18,"Belgrano","Manuel Ugarte","a2700",0,0,2,0,0,0,0,4,0,3,4,"April"
"172",18,"Belgrano","Manuel Ugarte","a2700",0,0,2,0,0,0,0,5,0,3,5,"May"
"173",18,"Belgrano","Manuel Ugarte","a2700",0,0,2,0,0,0,0,6,0,3,6,"June"
"174",18,"Belgrano","Manuel Ugarte","a2700",0,0,2,0,0,0,0,7,0,3,7,"July (1-17)"
"175",18,"Belgrano","Manuel Ugarte","a2700",0,0,2,0,0,0,0,8,0,3,9,"August"
"176",18,"Belgrano","Manuel Ugarte","a2700",0,0,2,0,0,0,0,9,0,3,10,"September"
"177",18,"Belgrano","Manuel Ugarte","a2700",0,0,2,0,0,0,0,10,0,3,11,"October"
"178",18,"Belgrano","Manuel Ugarte","a2700",0,0,2,0,0,0,0,11,0,3,12,"November"
"179",18,"Belgrano","Manuel Ugarte","a2700",0,0,2,0,0,0,0.25,12,0.25,3,13,"December"
"180",18,"Belgrano","Manuel Ugarte","a2700",0,0,2,0,0,0,0,73,0,3,8,"July (18-31)"
"181",19,"Belgrano","Manuel Ugarte","a2800",0,0,2,0,0,0,0,4,0,3,4,"April"
"182",19,"Belgrano","Manuel Ugarte","a2800",0,0,2,0,0,0,0,5,0,3,5,"May"
"183",19,"Belgrano","Manuel Ugarte","a2800",0,0,2,0,0,0,0,6,0,3,6,"June"
"184",19,"Belgrano","Manuel Ugarte","a2800",0,0,2,0,0,0,0,7,0,3,7,"July (1-17)"
"185",19,"Belgrano","Manuel Ugarte","a2800",0,0,2,0,0,0,0,8,0,3,9,"August"
"186",19,"Belgrano","Manuel Ugarte","a2800",0,0,2,0,0,0,0,9,0,3,10,"September"
